test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,54,3,S1_NARR,3340,280,F,58,54_S1_10_NARR.wav
137,55,2,S1_CHAR,3339,280,F,58,55_S1_02_CHAR.wav
137,56,5,S3_NEU,3337,280,F,58,56_S3_13_NEU.wav
137,57,3,S2_NARR,3335,280,F,58,57_S2_01_NARR.wav
137,4,2,S2_CHAR,3338,427,F,42,04_S2_01_CHAR.wav
137,5,7,S3_NEU,3337,427,F,42,05_S3_10_NEU.wav
137,6,3,S2_NARR,3335,427,F,42,06_S2_08_NARR.wav
137,7,1,S1_CHAR,3339,427,F,42,07_S1_05_CHAR.wav
137,8,6,S3_NEU,3337,427,F,42,08_S3_02_NEU.wav
137,9,1,S1_NARR,3340,427,F,42,09_S1_01_NARR.wav
137,10,4,S2_CHAR,3338,427,F,42,10_S2_05_CHAR.wav
137,11,1,S1_NEU,3336,427,F,42,11_S1_08_NEU.wav
137,12,2,S2_NARR,3335,427,F,42,12_S2_13_NARR.wav
137,13,5,S3_CHAR,3341,427,F,42,13_S3_02_CHAR.wav
137,14,2,S2_NEU,3342,427,F,42,14_S2_05_NEU.wav
137,15,6,S3_NARR,3343,427,F,42,15_S3_10_NARR.wav
137,16,3,S2_CHAR,3338,427,F,42,16_S2_13_CHAR.wav
137,17,6,S3_NEU,3337,427,F,42,17_S3_01_NEU.wav
137,18,1,S1_NARR,3340,427,F,42,18_S1_08_NARR.wav
137,19,2,S3_CHAR,3341,427,F,42,19_S3_01_CHAR.wav
137,20,1,S2_NEU,3342,427,F,42,20_S2_10_NEU.wav
137,21,7,S3_NARR,3343,427,F,42,21_S3_02_NARR.wav
137,22,1,S1_CHAR,3339,427,F,42,22_S1_01_CHAR.wav
137,23,5,S2_NEU,3342,427,F,42,23_S2_08_NEU.wav
137,24,3,S2_NARR,3335,427,F,42,24_S2_02_NARR.wav
137,25,1,S3_CHAR,3341,427,F,42,25_S3_05_CHAR.wav
137,26,1,S1_NEU,3336,427,F,42,26_S1_02_NEU.wav
137,27,1,S1_NARR,3340,427,F,42,27_S1_13_NARR.wav
137,28,2,S2_CHAR,3338,427,F,42,28_S2_02_CHAR.wav
137,29,4,S2_NEU,3342,427,F,42,29_S2_01_NEU.wav
137,30,6,S3_NARR,3343,427,F,42,30_S3_05_NARR.wav
137,31,1,S1_CHAR,3339,427,F,42,31_S1_13_CHAR.wav
137,32,4,S2_NEU,3342,427,F,42,32_S2_02_NEU.wav
137,33,7,S3_NARR,3343,427,F,42,33_S3_13_NARR.wav
137,34,2,S2_CHAR,3338,427,F,42,34_S2_08_CHAR.wav
137,35,1,S1_NEU,3336,427,F,42,35_S1_10_NEU.wav
137,36,5,S3_NARR,3343,427,F,42,36_S3_01_NARR.wav
137,37,1,S2_CHAR,3338,427,F,42,37_S2_10_CHAR.wav
137,38,4,S3_NEU,3337,427,F,42,38_S3_08_NEU.wav
137,39,2,S2_NARR,3335,427,F,42,39_S2_05_NARR.wav
137,40,5,S3_CHAR,3341,427,F,42,40_S3_13_CHAR.wav
137,41,1,S1_NEU,3336,427,F,42,41_S1_01_NEU.wav
137,42,1,S1_NARR,3340,427,F,42,42_S1_05_NARR.wav
137,43,3,S3_CHAR,3341,427,F,42,43_S3_08_CHAR.wav
137,44,7,S3_NEU,3337,427,F,42,44_S3_05_NEU.wav
137,45,2,S2_NARR,3335,427,F,42,45_S2_10_NARR.wav
137,46,1,S1_CHAR,3339,427,F,42,46_S1_08_CHAR.wav
137,47,1,S1_NEU,3336,427,F,42,47_S1_13_NEU.wav
137,48,2,S1_NARR,3340,427,F,42,48_S1_02_NARR.wav
137,49,3,S3_CHAR,3341,427,F,42,49_S3_10_CHAR.wav
137,50,1,S1_NEU,3336,427,F,42,50_S1_05_NEU.wav
137,51,5,S3_NARR,3343,427,F,42,51_S3_08_NARR.wav
137,52,1,S1_CHAR,3339,427,F,42,52_S1_10_CHAR.wav
137,53,3,S2_NEU,3342,427,F,42,53_S2_13_NEU.wav
137,54,1,S1_NARR,3340,427,F,42,54_S1_10_NARR.wav
137,55,1,S1_CHAR,3339,427,F,42,55_S1_02_CHAR.wav
137,56,7,S3_NEU,3337,427,F,42,56_S3_13_NEU.wav
137,57,3,S2_NARR,3335,427,F,42,57_S2_01_NARR.wav
137,4,4,S2_CHAR,3338,918,M,50,04_S2_01_CHAR.wav
137,5,4,S3_NEU,3337,918,M,50,05_S3_10_NEU.wav
137,6,5,S2_NARR,3335,918,M,50,06_S2_08_NARR.wav
137,7,5,S1_CHAR,3339,918,M,50,07_S1_05_CHAR.wav
137,8,6,S3_NEU,3337,918,M,50,08_S3_02_NEU.wav
137,9,5,S1_NARR,3340,918,M,50,09_S1_01_NARR.wav
