test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,24,3,MJU,3335,427,F.r,42,24_M02_JU.wav
137,25,1,EOK,3341,427,F.r,42,25_E05_OK.wav
137,26,1,INY,3336,427,F.r,42,26_I02_NY.wav
137,27,1,IJU,3340,427,F.r,42,27_I13_JU.wav
137,28,2,MOK,3338,427,F.r,42,28_M02_OK.wav
137,29,4,MNY,3342,427,F.r,42,29_M01_NY.wav
137,30,6,EJU,3343,427,F.r,42,30_E05_JU.wav
137,31,1,IOK,3339,427,F.r,42,31_I13_OK.wav
137,32,4,MNY,3342,427,F.r,42,32_M02_NY.wav
137,33,7,EJU,3343,427,F.r,42,33_E13_JU.wav
137,34,2,MOK,3338,427,F.r,42,34_M08_OK.wav
137,35,1,INY,3336,427,F.r,42,35_I10_NY.wav
137,36,5,EJU,3343,427,F.r,42,36_E01_JU.wav
137,37,1,MOK,3338,427,F.r,42,37_M10_OK.wav
137,38,4,ENY,3337,427,F.r,42,38_E08_NY.wav
137,39,2,MJU,3335,427,F.r,42,39_M05_JU.wav
137,40,5,EOK,3341,427,F.r,42,40_E13_OK.wav
137,41,1,INY,3336,427,F.r,42,41_I01_NY.wav
137,42,1,IJU,3340,427,F.r,42,42_I05_JU.wav
137,43,3,EOK,3341,427,F.r,42,43_E08_OK.wav
137,44,7,ENY,3337,427,F.r,42,44_E05_NY.wav
137,45,2,MJU,3335,427,F.r,42,45_M10_JU.wav
137,46,1,IOK,3339,427,F.r,42,46_I08_OK.wav
137,47,1,INY,3336,427,F.r,42,47_I13_NY.wav
137,48,2,IJU,3340,427,F.r,42,48_I02_JU.wav
137,49,3,EOK,3341,427,F.r,42,49_E10_OK.wav
137,50,1,INY,3336,427,F.r,42,50_I05_NY.wav
137,51,5,EJU,3343,427,F.r,42,51_E08_JU.wav
137,52,1,IOK,3339,427,F.r,42,52_I10_OK.wav
137,53,3,MNY,3342,427,F.r,42,53_M13_NY.wav
137,54,1,IJU,3340,427,F.r,42,54_I10_JU.wav
137,55,1,IOK,3339,427,F.r,42,55_I02_OK.wav
137,56,7,ENY,3337,427,F.r,42,56_E13_NY.wav
137,57,3,MJU,3335,427,F.r,42,57_M01_JU.wav
137,4,4,MOK,3338,918,M.r,50,04_M01_OK.wav
137,5,4,ENY,3337,918,M.r,50,05_E10_NY.wav
137,6,5,MJU,3335,918,M.r,50,06_M08_JU.wav
137,7,5,IOK,3339,918,M.r,50,07_I05_OK.wav
137,8,6,ENY,3337,918,M.r,50,08_E02_NY.wav
137,9,5,IJU,3340,918,M.r,50,09_I01_JU.wav
137,10,5,MOK,3338,918,M.r,50,10_M05_OK.wav
137,11,4,INY,3336,918,M.r,50,11_I08_NY.wav
137,12,5,MJU,3335,918,M.r,50,12_M13_JU.wav
137,13,6,EOK,3341,918,M.r,50,13_E02_OK.wav
137,14,6,MNY,3342,918,M.r,50,14_M05_NY.wav
137,15,5,EJU,3343,918,M.r,50,15_E10_JU.wav
